asset_id,attribute_count,attribute_count_rarity_score,Mouth_attribute,Mouth_rarity_score,Skin_attribute,Skin_rarity_score,Weapon_attribute,Weapon_rarity_score,Background_attribute,Background_rarity_score,Clothes_attribute,Clothes_rarity_score,Eyes_attribute,Eyes_rarity_score,Eyewear_attribute,Eyewear_rarity_score,Hair_attribute,Hair_rarity_score,Hat_attribute,Hat_rarity_score,KILLER_GF_attribute,KILLER_GF_rarity_score,overall_rarity_score
1,8,2.0179034769071094,Soft Pink Grin,31.742857142857144,Pale,6.167327517842982,AR-15,18.605263157894736,Crimson Explosion,19.155172413793103,Pattern Jacket,42.03783783783784,Heart Eyes,25.25,Censor,92.58333333333333,Long Silver Bangs,37.93658536585366,,1.8111318118304611,,1.000900900900901,278.30831295905125
2,7,3.5031531531531535,Snaggle Tooth,26.633561643835616,Bloody Tanline,40.505208333333336,Gun,20.519788918205805,KGF Pattern,21.542936288088644,White Star Dress,55.94964028776979,White Glow Eyes,38.885,,1.921195652173913,Dark Devil Braids,40.505208333333336,,1.8111318118304611,,1.000900900900901,252.77772532262492
3,9,4.631923764145325,Average Smile,35.19004524886878,Light,3.2109826589595376,Dual Wield,45.47953216374269,KGF Pattern,21.542936288088644,Messy Student,43.69101123595506,Heart Eyes,25.25,Red Glasses,22.542028985507248,Dark Flowy Buns,28.48717948717949,Blood Halo,39.47715736040609,,1.000900900900901,270.5036980937537
4,9,4.631923764145325,Red Lick,34.56444444444445,Light,3.2109826589595376,Triple Katana,60.286821705426355,White KGF Pattern,15.130350194552527,Assassin,47.13333333333333,Devil Pink Eyes,53.26712328767123,Eye Patch White,30.027027027027028,Dark Buns,30.984063745019924,Devil White Horns,46.84939759036144,,1.000900900900901,327.08636865184206
5,9,4.631923764145325,Closed Smile Red,34.71875,Light,3.2109826589595376,Devil Scythe,62.216,Dark KGF Pattern,19.061274509803923,White X Dress,92.58333333333333,Pink Eyes,22.6734693877551,Round Glasses,22.2836676217765,Pink Ribbon Twintails,33.52155172413793,Crimson Mouse,172.82222222222222,,1.000900900900901,468.7240761230347
6,8,2.0179034769071094,Closed Smile Pink,34.10964912280702,Light,3.2109826589595376,Floating Knives,60.7578125,White KGF Pattern,15.130350194552527,NFTX Hoodie,77.0,Dark Blue Eyes,19.63888888888889,Eye Patch White,30.027027027027028,Long Dark Bangs,27.38380281690141,,1.8111318118304611,,1.000900900900901,272.0884493987749
7,9,4.631923764145325,Crescent Smile,32.40416666666667,Light,3.2109826589595376,Gun,20.519788918205805,Grey Gradient,15.21917808219178,HODL Jacket,36.51173708920188,Devil Golden Eyes,52.19463087248322,Shades,29.347169811320757,Purple Ponytail,33.0936170212766,Death Queen,59.36641221374046,,1.000900900900901,287.5005079990929
8,8,2.0179034769071094,Ring,60.286821705426355,Tanline,6.906749555950266,Devil Wings,34.874439461883405,Crimson Ripple,17.634920634920636,Devil Hunter,37.75242718446602,Devil Golden Eyes,52.19463087248322,Round Glasses,22.2836676217765,Short Bangs with Earrings,30.143410852713178,,1.8111318118304611,,1.000900900900901,266.9070040792581
9,9,4.631923764145325,Toast,54.00694444444444,Light,3.2109826589595376,Gun,20.519788918205805,Crimson Explosion,19.155172413793103,Bot Uniform,42.266304347826086,Devil Golden Eyes,52.19463087248322,Heart Eye Patch,35.35,Blue Fade Hair,30.86111111111111,Oni Mask,38.310344827586206,,1.000900900900901,301.50810425945576
10,7,3.5031531531531535,Average Smile,35.19004524886878,Pale,6.167327517842982,Quinn Bat,26.452380952380953,White KGF Pattern,15.130350194552527,Black Suit,152.49019607843138,Vampire Eyes,22.09375,,1.921195652173913,Short Pink Hair,31.613821138211378,,1.8111318118304611,,1.000900900900901,297.3742526483465
