asset_id,attribute_count,attribute_count_rarity_score,Type_attribute,Type_rarity_score,Hair_attribute,Hair_rarity_score,Clothing_attribute,Clothing_rarity_score,Eyes_attribute,Eyes_rarity_score,Mouth_attribute,Mouth_rarity_score,Offhand_attribute,Offhand_rarity_score,Background_attribute,Background_rarity_score,Ear_attribute,Ear_rarity_score,Headgear_attribute,Headgear_rarity_score,Neck_attribute,Neck_rarity_score,Face_attribute,Face_rarity_score,Special_attribute,Special_rarity_score,overall_rarity_score
0,7,0.12389380530973451,Human,0.04346861831891772,Water,18.666666666666668,Pink Oversized Kimono,5.52112676056338,Striking,0.9607843137254901,Frown,1.0798898071625345,Monkey King Staff,2.703448275862069,Off White A,0.21609702315325247,,-0.2747021723896286,,-0.12661498708010335,,-0.21052631578947367,,-0.1391057487579844,,-1.6540084388185654,26.910417607926295
1,7,0.12389380530973451,Human,0.04346861831891772,Pink Hairband,5.090909090909091,White Qipao with Fur,4.666666666666667,Daydreaming,1.0129198966408268,Lipstick,0.9607843137254901,Gloves,3.5315315315315314,Off White D,0.19698492462311556,,-0.2747021723896286,,-0.12661498708010335,,-0.21052631578947367,,-0.1391057487579844,,-1.6540084388185654,13.22220118488962
2,7,0.12389380530973451,Human,0.04346861831891772,Pink Flowy,4.505747126436781,Vest,2.4499999999999997,Ruby,1.0288713910761154,Chewing,1.1168091168091168,,-0.06084122303274872,Red,0.38966202783300197,Red Tassel,11.878787878787879,,-0.12661498708010335,,-0.21052631578947367,,-0.1391057487579844,,-1.6540084388185654,19.34614325109267
3,9,0.21503017004936914,Human,0.04346861831891772,Green Spiky,3.35042735042735,Green Yukata,1.8846153846153846,Careless,1.0288713910761154,Grass,1.005128205128205,Katana,0.8929384965831435,Red,0.38966202783300197,,-0.2747021723896286,Frog Headband,4.170212765957447,Frog Headphones,7.538461538461538,,-0.1391057487579844,,-1.6540084388185654,18.450999588484294
4,7,0.12389380530973451,Human,0.04346861831891772,Brown Dreadlocks,18.666666666666668,White Qipao with Fur,4.666666666666667,Lightning,8.521739130434781,Smirk,0.5399449035812672,Katana,0.8929384965831435,Off White D,0.19698492462311556,,-0.2747021723896286,,-0.12661498708010335,,-0.21052631578947367,,-0.1391057487579844,,-1.6540084388185654,31.247345549348537
5,8,0.10897970530998052,Human,0.04346861831891772,Blonde Swept Back,4.0,Red Perfecto Jacket,4.72289156626506,Suspicious,1.2564102564102564,Chuckle,0.9537712895377128,Leather Katana,0.9468599033816426,Red,0.38966202783300197,,-0.2747021723896286,,-0.12661498708010335,,-0.21052631578947367,Red Stripes Face Paint,1.3517241379310345,,-1.6540084388185654,11.507915590909834
6,7,0.12389380530973451,Human,0.04346861831891772,Teal Bun,3.5963302752293576,Alpine Jacket,3.408695652173913,Calm,1.0425531914893618,Tongue Out,1.9405940594059408,Leather Katana,0.9468599033816426,Off White A,0.21609702315325247,,-0.2747021723896286,,-0.12661498708010335,,-0.21052631578947367,,-0.1391057487579844,,-1.6540084388185654,8.913534865626366
7,8,0.10897970530998052,Human,0.04346861831891772,Orange Samurai,4.0,Light Kimono,1.2604501607717042,Suspicious,1.2564102564102564,Bubble Gum,1.395017793594306,Leather Katana,0.9468599033816426,Off White A,0.21609702315325247,,-0.2747021723896286,Full Bandana,2.1538461538461537,,-0.21052631578947367,,-0.1391057487579844,,-1.6540084388185654,9.102786939030562
8,8,0.10897970530998052,Human,0.04346861831891772,Silver Pixie,4.780487804878049,Hoodie,2.6486486486486487,Relaxed,1.1563421828908556,Grass,1.005128205128205,,-0.06084122303274872,Off White B,0.2229806598407281,,-0.2747021723896286,,-0.12661498708010335,Choker,2.6486486486486487,Blush,3.62962962962963,,-1.6540084388185654,14.128147281972616
9,7,0.12389380530973451,Blue,0.8828828828828829,Silver Spiky,5.369863013698629,White Yukata,2.3473053892215567,Chill,1.0,Chuckle,0.9537712895377128,Bat,1.0,Off White D,0.19698492462311556,,-0.2747021723896286,,-0.12661498708010335,,-0.21052631578947367,,-0.1391057487579844,,-1.6540084388185654,9.469743642437876
10,8,0.10897970530998052,Human,0.04346861831891772,Green Samurai,3.92,Blue Kimono,1.8490566037735847,Closed,0.25274016763378465,Chuckle,0.9537712895377128,Sakura Katana,0.9137529137529137,Off White C,0.199796126401631,,-0.2747021723896286,Black Bucket Hat,2.9473684210526314,,-0.21052631578947367,,-0.1391057487579844,,-1.6540084388185654,8.910591170025505
