date,starting_block,ending_block
2017-06-20,3900605,3905571
2017-06-21,3905572,3910469
2017-06-22,3910470,3915413
2017-06-23,3915414,3920303
2017-06-24,3920304,3925242
2017-06-25,3925243,3930168
2017-06-26,3930169,3935133
2017-06-27,3935134,3940134
2017-06-28,3940135,3945095
2017-06-29,3945096,3950122
2017-06-30,3950123,3955158
2017-07-01,3955159,3960167
2017-07-02,3960168,3965201
2017-07-03,3965202,3970253
2017-07-04,3970254,3975331
2017-07-05,3975332,3980316
2017-07-06,3980317,3985362
2017-07-07,3985363,3990446
2017-07-08,3990447,3995533
2017-07-09,3995534,4000627
2017-07-10,4000628,4005221
2017-07-11,4005222,4009741
2017-07-12,4009742,4014250
2017-07-13,4014251,4018762
2017-07-14,4018763,4023264
2017-07-15,4023265,4027867
2017-07-16,4027868,4032442
2017-07-17,4032443,4036901
2017-07-18,4036902,4041452
2017-07-19,4041453,4046089
2017-07-20,4046090,4050721
2017-07-21,4050722,4055264
2017-07-22,4055265,4059913
2017-07-23,4059914,4064573
2017-07-24,4064574,4069155
2017-07-25,4069156,4073841
2017-07-26,4073842,4078491
2017-07-27,4078492,4083125
2017-07-28,4083126,4087772
2017-07-29,4087773,4092455
2017-07-30,4092456,4097159
2017-07-31,4097160,4101694
2017-08-01,4101695,4105781
2017-08-02,4105782,4109825
2017-08-03,4109826,4113801
2017-08-04,4113802,4117841
2017-08-05,4117842,4121875
2017-08-06,4121876,4125907
2017-08-07,4125908,4130001
2017-08-08,4130002,4134094
2017-08-09,4134095,4138207
2017-08-10,4138208,4142236
2017-08-11,4142237,4146341
2017-08-12,4146342,4150454
2017-08-13,4150455,4154583
2017-08-14,4154584,4158716
2017-08-15,4158717,4162848
2017-08-16,4162849,4167014
2017-08-17,4167015,4171158
2017-08-18,4171159,4175294
2017-08-19,4175295,4179505
2017-08-20,4179506,4183661
2017-08-21,4183662,4187894
2017-08-22,4187895,4192079
2017-08-23,4192080,4196295
2017-08-24,4196296,4200479
2017-08-25,4200480,4204033
2017-08-26,4204034,4207532
2017-08-27,4207533,4211046
2017-08-28,4211047,4214492
2017-08-29,4214493,4218033
2017-08-30,4218034,4221564
2017-08-31,4221565,4225037
2017-09-01,4225038,4228558
2017-09-02,4228559,4232099
2017-09-03,4232100,4235638
2017-09-04,4235639,4239165
2017-09-05,4239166,4242724
2017-09-06,4242725,4246234
2017-09-07,4246235,4249781
2017-09-08,4249782,4253373
2017-09-09,4253374,4256934
2017-09-10,4256935,4260508
2017-09-11,4260509,4264059
2017-09-12,4264060,4267662
2017-09-13,4267663,4271198
2017-09-14,4271199,4274797
2017-09-15,4274798,4278413
2017-09-16,4278414,4282022
2017-09-17,4282023,4285652
2017-09-18,4285653,4289209
2017-09-19,4289210,4292837
2017-09-20,4292838,4296437
2017-09-21,4296438,4300082
2017-09-22,4300083,4303083
2017-09-23,4303084,4305967
2017-09-24,4305968,4308905
2017-09-25,4308906,4311741
2017-09-26,4311742,4314631
2017-09-27,4314632,4317535
2017-09-28,4317536,4320391
2017-09-29,4320392,4323220
2017-09-30,4323221,4326060
2017-10-01,4326061,4328922
2017-10-02,4328923,4331764
2017-10-03,4331765,4334626
2017-10-04,4334627,4337512
2017-10-05,4337513,4340458
2017-10-06,4340459,4343306
2017-10-07,4343307,4346154
2017-10-08,4346155,4349033
2017-10-09,4349034,4351915
2017-10-10,4351916,4354830
2017-10-11,4354831,4357745
2017-10-12,4357746,4360644
2017-10-13,4360645,4363535
2017-10-14,4363536,4366422
2017-10-15,4366423,4369347
2017-10-16,4369348,4373901
2017-10-17,4373902,4379951
2017-10-18,4379952,4386172
2017-10-19,4386173,4392413
2017-10-20,4392414,4398650
2017-10-21,4398651,4404879
2017-10-22,4404880,4411159
2017-10-23,4411160,4417413
2017-10-24,4417414,4423661
2017-10-25,4423662,4429837
2017-10-26,4429838,4435994
2017-10-27,4435995,4442223
2017-10-28,4442224,4448463
2017-10-29,4448464,4454657
2017-10-30,4454658,4460729
2017-10-31,4460730,4467004
2017-11-01,4467005,4473146
2017-11-02,4473147,4479290
2017-11-03,4479291,4485498
2017-11-04,4485499,4491694
2017-11-05,4491695,4497993
2017-11-06,4497994,4504192
2017-11-07,4504193,4510403
2017-11-08,4510404,4516639
2017-11-09,4516640,4522834
2017-11-10,4522835,4529134
2017-11-11,4529135,4535401
2017-11-12,4535402,4541646
2017-11-13,4541647,4547871
2017-11-14,4547872,4553993
2017-11-15,4553994,4560230
2017-11-16,4560231,4566384
2017-11-17,4566385,4572619
2017-11-18,4572620,4578834
2017-11-19,4578835,4585100
2017-11-20,4585101,4591276
2017-11-21,4591277,4597450
2017-11-22,4597451,4603692
2017-11-23,4603693,4609882
2017-11-24,4609883,4616116
2017-11-25,4616117,4622317
2017-11-26,4622318,4628486
2017-11-27,4628487,4634572
2017-11-28,4634573,4640666
2017-11-29,4640667,4646774
2017-11-30,4646775,4652925
2017-12-01,4652926,4659052
2017-12-02,4659053,4665105
2017-12-03,4665106,4671134
2017-12-04,4671135,4676805
2017-12-05,4676806,4682393
2017-12-06,4682394,4687866
2017-12-07,4687867,4693664
2017-12-08,4693665,4699467
2017-12-09,4699468,4705280
2017-12-10,4705281,4711061
2017-12-11,4711062,4716810
2017-12-12,4716811,4722525
2017-12-13,4722526,4728184
2017-12-14,4728185,4733878
2017-12-15,4733879,4739678
2017-12-16,4739679,4745453
2017-12-17,4745454,4751234
2017-12-18,4751235,4757015
2017-12-19,4757016,4762619
2017-12-20,4762620,4768190
2017-12-21,4768191,4773760
2017-12-22,4773761,4779412
2017-12-23,4779413,4785359
2017-12-24,4785360,4791340
2017-12-25,4791341,4797372
2017-12-26,4797373,4803364
2017-12-27,4803365,4809330
2017-12-28,4809331,4815219
2017-12-29,4815220,4821005
2017-12-30,4821006,4826778
2017-12-31,4826779,4832685
2018-01-01,4832686,4838611
2018-01-02,4838612,4844361
2018-01-03,4844362,4849901
2018-01-04,4849902,4855355
2018-01-05,4855356,4860696
2018-01-06,4860697,4866112
2018-01-07,4866113,4871640
2018-01-08,4871641,4877048
2018-01-09,4877049,4882425
2018-01-10,4882426,4887840
2018-01-11,4887841,4893270
2018-01-12,4893271,4898689
2018-01-13,4898690,4904083
2018-01-14,4904084,4909708
2018-01-15,4909709,4915132
2018-01-16,4915133,4920654
2018-01-17,4920655,4926226
2018-01-18,4926227,4931795
2018-01-19,4931796,4937480
