value,trait_type,asset_id
Soft Pink Grin,Mouth,1
Pale,Skin,1
AR-15,Weapon,1
Crimson Explosion,Background,1
Pattern Jacket,Clothes,1
Heart Eyes,Eyes,1
Censor,Eyewear,1
Long Silver Bangs,Hair,1
Dark Devil Braids,Hair,2
Snaggle Tooth,Mouth,2
Bloody Tanline,Skin,2
Gun,Weapon,2
KGF Pattern,Background,2
White Star Dress,Clothes,2
White Glow Eyes,Eyes,2
KGF Pattern,Background,3
Heart Eyes,Eyes,3
Dark Flowy Buns,Hair,3
Dual Wield,Weapon,3
Messy Student,Clothes,3
Red Glasses,Eyewear,3
Blood Halo,Hat,3
Average Smile,Mouth,3
Light,Skin,3
White KGF Pattern,Background,4
Devil Pink Eyes,Eyes,4
Eye Patch White,Eyewear,4
Dark Buns,Hair,4
Devil White Horns,Hat,4
Red Lick,Mouth,4
Assassin,Clothes,4
Light,Skin,4
Triple Katana,Weapon,4
White X Dress,Clothes,5
Round Glasses,Eyewear,5
Dark KGF Pattern,Background,5
Pink Eyes,Eyes,5
Pink Ribbon Twintails,Hair,5
Crimson Mouse,Hat,5
Closed Smile Red,Mouth,5
Light,Skin,5
Devil Scythe,Weapon,5
Dark Blue Eyes,Eyes,6
Eye Patch White,Eyewear,6
Long Dark Bangs,Hair,6
Closed Smile Pink,Mouth,6
Light,Skin,6
Floating Knives,Weapon,6
White KGF Pattern,Background,6
NFTX Hoodie,Clothes,6
Purple Ponytail,Hair,7
Crescent Smile,Mouth,7
Gun,Weapon,7
Devil Golden Eyes,Eyes,7
HODL Jacket,Clothes,7
Shades,Eyewear,7
Death Queen,Hat,7
Light,Skin,7
Grey Gradient,Background,7
Short Bangs with Earrings,Hair,8
Ring,Mouth,8
Tanline,Skin,8
Devil Wings,Weapon,8
Crimson Ripple,Background,8
Devil Hunter,Clothes,8
Devil Golden Eyes,Eyes,8
Round Glasses,Eyewear,8
Devil Golden Eyes,Eyes,9
Heart Eye Patch,Eyewear,9
Toast,Mouth,9
Light,Skin,9
Crimson Explosion,Background,9
Bot Uniform,Clothes,9
Blue Fade Hair,Hair,9
Oni Mask,Hat,9
Gun,Weapon,9
Quinn Bat,Weapon,10
White KGF Pattern,Background,10
Black Suit,Clothes,10
Vampire Eyes,Eyes,10
Short Pink Hair,Hair,10
Average Smile,Mouth,10
Pale,Skin,10
Red Mekanizer Hat,Hat,11
Lip Bite Purple,Mouth,11
Tanline,Skin,11
Sayanaura,Weapon,11
Black Gradient,Background,11
Red Mekanizer Armor,Clothes,11
Light Blue Eyes,Eyes,11
Dark Fade Hair,Hair,11
Dark,Skin,12
Quinn Bat,Weapon,12
Crimson Hole,Background,12
White Turtleneck,Clothes,12
Heart Eyes,Eyes,12
Black Glasses,Eyewear,12
Purple Ponytail,Hair,12
Red Lick,Mouth,12
Red Lick,Mouth,13
Bloody Light,Skin,13
Devil Wings,Weapon,13
Black Gradient,Background,13
Nyan Kitty,Clothes,13
Devil Golden Eyes,Eyes,13
Pink Flowy Hair,Hair,13
Purple Gradient,Background,14
Dark Heart Maid,Clothes,14
Devil Golden Eyes,Eyes,14
Red Devil Braids,Hair,14
Black Hairband,Hat,14
O Smile,Mouth,14
Light,Skin,14
Chainsaw,Weapon,14
Red Ribbon,Hat,15
One Side Grin,Mouth,15
Light,Skin,15
Katana,Weapon,15
Crimson Hole,Background,15
Quinn Dress,Clothes,15
Closed,Eyes,15
Dreadlock Hair,Hair,15
Death Ray Eye,Weapon,16
Black Gradient,Background,16
White Mesh Jacket,Clothes,16
Light Blue Eyes,Eyes,16
Round Glasses,Eyewear,16
Blonde Flowy Hair,Hair,16
Blue Open Mouth,Mouth,16
Bloody Light,Skin,16
Doll Eyes,Eyes,17
Pink Glasses,Eyewear,17
Dark Short Wavy Hair,Hair,17
One Side Grin,Mouth,17
Bloody Dark,Skin,17
Lightning Katana,Weapon,17
Purple Gradient,Background,17
Kunai Pencil,Clothes,17
Android Dress,Clothes,18
Round Glasses,Eyewear,18
Devil White Horns,Hat,18
Black Gradient,Background,18
Sharp Blue Eyes,Eyes,18
Long Silver Hairclip Bangs,Hair,18
Average Smile,Mouth,18
Bloody Pale,Skin,18
Lightning Katana,Weapon,18
White,Background,19
Bleeding Heart Tee,Clothes,19
Monochrome Eyes,Eyes,19
White Android Hair,Hair,19
Zipped Mask,Mouth,19
Bloody Tanline,Skin,19
Double Katana,Weapon,19
Vampire Eyes,Eyes,20
Black Glasses,Eyewear,20
Soft Pink Grin,Mouth,20
White,Background,20
Pencil Black,Clothes,20
Pink Ribbon Twintails,Hair,20
Blood Halo,Hat,20
Dark,Skin,20
Double Katana,Weapon,20
Nurse,Clothes,21
Red Glasses,Eyewear,21
Dark Devil Wings,Hat,21
Blade Wings,Weapon,21
Purple Solid,Background,21
Light Buns,Hair,21
Crescent Smile,Mouth,21
Tanline,Skin,21
Cyberpop Eyes,Eyes,21
Toast,Mouth,22
Dark,Skin,22
Kitty Ghosts,Weapon,22
Dark Gradient,Background,22
Bleeding Heart Tee,Clothes,22
Shy Blue Eyes,Eyes,22
Blonde Ponytail,Hair,22
Pulled Up Goggles,Hat,22
Dual Saber,Weapon,23
White,Background,23
Punk Bot Shirt,Clothes,23
Dark Blue Eyes,Eyes,23
Black Glasses,Eyewear,23
Short Pink Hair,Hair,23
Closed Smile Red,Mouth,23
Light,Skin,23
Grey Heart Glasses,Eyewear,24
Red Devil Braids,Hair,24
Snaggle Tooth,Mouth,24
Double Katana,Weapon,24
GF Heart White,Background,24
Dark Blue Eyes,Eyes,24
Pale,Skin,24
Crimson Kimono,Clothes,24
Devil Tooth,Hat,24
Bleed,Mouth,25
Light,Skin,25
Ghost Blade,Weapon,25
Crimson Ripple,Background,25
GM GN Fur,Clothes,25
Jester Eyes,Eyes,25
Red Glasses,Eyewear,25
Pink Ribbon Twintails,Hair,25
Black Hairband,Hat,26
Red Lick,Mouth,26
Pale,Skin,26
Gun,Weapon,26
Purple Solid,Background,26
Devil Hunter,Clothes,26
Devil Red Eyes,Eyes,26
Blue Fishpin Hair,Hair,26
Dark Gradient,Background,27
Dark Heart Maid,Clothes,27
Doll Eyes,Eyes,27
Short Bangs with Earrings,Hair,27
Crescent Smile,Mouth,27
Dark,Skin,27
AR-15,Weapon,27
Closed Smile Pink,Mouth,28
Pale,Skin,28
Katana,Weapon,28
KGF Pattern,Background,28
HODL Jacket,Clothes,28
Cute Brown Eyes,Eyes,28
Butterfly Hair,Hair,28
White Devil Wings,Hat,28
Red Ring Ponytail,Hair,29
Snaggle Tooth,Mouth,29
Dark,Skin,29
Dual Saber,Weapon,29
White,Background,29
Quinn Dress,Clothes,29
Pink Eyes,Eyes,29
Long Silver Hairclip Bangs,Hair,30
uwu,Mouth,30
Bloody Light,Skin,30
Chainsaw,Weapon,30
Dark Gradient,Background,30
White Star Dress,Clothes,30
Cute Angry Eyes,Eyes,30
Dark,Skin,31
Gatling Gun,Weapon,31
KGF Pattern,Background,31
All-seeing Hoodie,Clothes,31
Shy Blue Eyes,Eyes,31
Round Glasses,Eyewear,31
Dark Flowy Buns,Hair,31
Zipped Mask,Mouth,31
White KGF Pattern,Background,32
Jester Eyes,Eyes,32
Dark Devil Braids,Hair,32
Tanline,Skin,32
Chosen Sword,Weapon,32
Red Tie Uniform,Clothes,32
Round Glasses,Eyewear,32
Oni Horns,Hat,32
Crescent Smile,Mouth,32
White Hole,Background,33
Pink Ribbon Twintails,Hair,33
Lip Bite Red,Mouth,33
Bloody Dark,Skin,33
Syringe,Weapon,33
Agent Outfit,Clothes,33
Vampire Eyes,Eyes,33
Black Glasses,Eyewear,33
Crimson Mouse,Hat,33
Open Smile Red Vamp,Mouth,34
Pale,Skin,34
Double Katana,Weapon,34
GF Heart White,Background,34
White Turtleneck,Clothes,34
Cute Dark Eyes,Eyes,34
Pink Glasses,Eyewear,34
Short Bangs with Earrings,Hair,34
Blue Open Mouth,Mouth,35
Dark,Skin,35
Samurai Bow,Weapon,35
Dark Gradient,Background,35
Quinn Dress,Clothes,35
Light Blue Eyes,Eyes,35
Eye Patch White,Eyewear,35
Purple Ponytail,Hair,35
Dark,Skin,36
Feather Wings,Weapon,36
KGF Pattern,Background,36
Red Heart Dress,Clothes,36
Cute Brown Eyes,Eyes,36
Pink Punk Hair,Hair,36
X Mask,Mouth,36
Red Tie Uniform,Clothes,37
Cute Angry Eyes,Eyes,37
Red Devil Braids,Hair,37
Closed Smile Pink,Mouth,37
Pale,Skin,37
Kitty Ghosts,Weapon,37
GF Heart White,Background,37
Agent Outfit,Clothes,38
Dark Devil Braids,Hair,38
Messiah Crown,Hat,38
Lip Bite Pink,Mouth,38
Death Ray Eye,Weapon,38
Purple Gradient,Background,38
Eye Patch White,Eyewear,38
Bloody Light,Skin,38
Heterochromia,Eyes,38
Monochrome Eyes,Eyes,39
Red Glasses,Eyewear,39
Long Silver Hairclip Bangs,Hair,39
Demon Mask,Mouth,39
Light,Skin,39
Double Katana,Weapon,39
Crimson Hole,Background,39
Dark Heart Maid,Clothes,39
Smooch Lips,Mouth,40
Bloody Light,Skin,40
Chainsaw,Weapon,40
Crimson Explosion,Background,40
Z Jacket,Clothes,40
Dark Blue Eyes,Eyes,40
Pink Punk Hair,Hair,40
Death Queen,Hat,40
Black Glasses,Eyewear,41
Butterfly Hair,Hair,41
Open Smile,Mouth,41
Tanline,Skin,41
Gun,Weapon,41
White Hole,Background,41
Pilot Dress,Clothes,41
Shy Blue Eyes,Eyes,41
Grey Heart Glasses,Eyewear,42
