transaction_hash,block_number,date,asset_id,seller,buyer,maker,taker,sale_price_eth,sale_price_usd
0x0158bf3a57f1e448dc21641d42ee0f206b34f5fc64ecfbafe319da2b5606ee8d,14168335,2022-02-08,6902,0x1cdfc0c528ca57f312db261e0096dc2635a25748,0x334c68061d78848c2ede9a1413401caff87621a5,0x1cdfc0c528ca57f312db261e0096dc2635a25748,0x334c68061d78848c2ede9a1413401caff87621a5,0.75,2362.4649641323376
0xe3c449ca831ae4bce716a294efd22d43ea7ce6cea6e82082edc00f11af7a9284,14168151,2022-02-08,6704,0x8e415cc5abd55b8229fcf98c6b933148af87f87e,0xfae248334113eb94d45c04103a5b4c08a7b74ee1,0x8e415cc5abd55b8229fcf98c6b933148af87f87e,0xfae248334113eb94d45c04103a5b4c08a7b74ee1,0.65,2047.4696355813592
0x6232c8441342d7286d821393a75153779ab602f11237ad1b80f24d6f05c9731e,14168002,2022-02-08,5685,0x50a1896ee5d5c7c080cdbd47353bbeb9935cb7fa,0x72c156ede4ebbd77ae51c31ccdd53c8bc745d053,0x50a1896ee5d5c7c080cdbd47353bbeb9935cb7fa,0x72c156ede4ebbd77ae51c31ccdd53c8bc745d053,0.7,2204.967299856848
0x2e54dcc60fd92155e9ecee96b70a3e2c36387e53af76c51c5ce4c81c89e800cb,14167898,2022-02-08,4731,0xe1272216176b55db0158bebe6ad83150b1bd0968,0xdeabee7eddc1d8efb6da41a99c82c2e20d1b4b20,0xe1272216176b55db0158bebe6ad83150b1bd0968,0xdeabee7eddc1d8efb6da41a99c82c2e20d1b4b20,0.78,2456.963562697631
0x11f5b7bf0151f35be28ca896875d8c7cf262558515f4c665dc5b26a877dbf19a,14167868,2022-02-08,5806,0x9f245aafa4902a2aa9e09cacbf5684e6c4580a8b,0xac2b4e9f15ba02485dd4ea7a27624b69b17566f6,0x9f245aafa4902a2aa9e09cacbf5684e6c4580a8b,0xac2b4e9f15ba02485dd4ea7a27624b69b17566f6,0.95,2992.455621234294
0x4f1e2e34e29c646dea589fe2560ddcf118f148c897edf37c2aa58d83dd962e6c,14167856,2022-02-08,1696,0x3af7f85584184f63b533e547e255ae7265ee6a90,0x8960486e075a47aa9e2e500a369310550af45b9a,0x3af7f85584184f63b533e547e255ae7265ee6a90,0x8960486e075a47aa9e2e500a369310550af45b9a,0.89,2803.458424103707
0xb777805b0cddd8c1f90939a21417b7731921a24f7fccb2604b8efadbf48871cb,14167771,2022-02-08,7436,0x4d6d847627b96ef00767e0984e10e8e1d884fcf4,0xf07f1eed5252ec9679f755e64f9f70ee9bf1bb2d,0x4d6d847627b96ef00767e0984e10e8e1d884fcf4,0xf07f1eed5252ec9679f755e64f9f70ee9bf1bb2d,0.723,2277.416225423573
0x77b2bdf8ddee91ffe4fd2df98b3f3b79ac89cde2b4dfd6f27ff61e7732e9f5a6,14167769,2022-02-08,3945,0xd09398e539a81bc0d1dc52606f01afe255e42dbf,0xf07f1eed5252ec9679f755e64f9f70ee9bf1bb2d,0xd09398e539a81bc0d1dc52606f01afe255e42dbf,0xf07f1eed5252ec9679f755e64f9f70ee9bf1bb2d,0.7,2204.967299856848
0x5399746b064ce755d6cb743b69924a40a420258b2b499fe3a7859ac2f44162e3,14167690,2022-02-08,3410,0x89c5b18bcb7ae23eab3fd7ee0ad80c6837565a23,0xae487e7bb13910fe0503bdea2962f2408c7f4ab4,0x89c5b18bcb7ae23eab3fd7ee0ad80c6837565a23,0xae487e7bb13910fe0503bdea2962f2408c7f4ab4,0.9899999,3118.453437659357
0xa90b323a8bc10fe74a2204726e55444a37f16586a509587abcb01d14673f2b56,14167615,2022-02-08,6176,0x29d6ab0e6316f90766c0a158eb204a2bf60ac23d,0xe052113bd7d7700d623414a0a4585bcae754e9d5,0x29d6ab0e6316f90766c0a158eb204a2bf60ac23d,0x8279648470eb92cbcd00ceb8ca30c2adfac20740,1.1,3464.948614060762
0x3b6626ef3cf87fef2509cb5993f74bb89eb6834cc0d61617fdc0d213b2073aa1,14167346,2022-02-08,7132,0xb3a53a5e5d1494b7f5a345f1c808cdd89f966d09,0x90a02db5abe177477775dfe5bc7202bf0bf2e82d,0xb3a53a5e5d1494b7f5a345f1c808cdd89f966d09,0x90a02db5abe177477775dfe5bc7202bf0bf2e82d,0.675,2126.218467719104
0x2adbcdfe93ffe2b317908fee6bcd74de8474e21a42110f0113d1ee753ab60d0a,14167280,2022-02-08,7445,0xef89b367d5288815041208acdf07a36bd3553b46,0xf6222a3409fe4ba8e81e002c4739d96c5fc93740,0xef89b367d5288815041208acdf07a36bd3553b46,0xf6222a3409fe4ba8e81e002c4739d96c5fc93740,0.69,2173.4677670017504
0xe30fb19ead5d77a03f8f80659a42176dcf13e74045acd34e77ddc60c9612c86c,14167267,2022-02-08,4466,0xf2182dd7ff47432a4c07fc7c1001c838f69d0353,0xd5f464982c1ee12c374d0afaf2b4345ac9468107,0xf2182dd7ff47432a4c07fc7c1001c838f69d0353,0xd5f464982c1ee12c374d0afaf2b4345ac9468107,0.674,2123.068514433594
0x71ec2007f1a844087e65ed3141371232a29016dd81c78e977f815040accdc29a,14167202,2022-02-08,3133,0x83003d1b9d4e47296ee1ca6667af26c8e8e3d4da,0x1d2f8a45ff6244f43079d116fe70c304b1d51d3f,0x83003d1b9d4e47296ee1ca6667af26c8e8e3d4da,0x1d2f8a45ff6244f43079d116fe70c304b1d51d3f,0.675,2126.218467719104
0x7d3b6aa880a9918ef7b222a91bd1fe720ec726532bfd4bbbc68e8e9c3b42f8eb,14167182,2022-02-08,3428,0x7f55bd494bed4b4eed2064eccc1af75e9d76ad4b,0xc7b52cad990d94a8313749ad694e25baaf88eebe,0x7f55bd494bed4b4eed2064eccc1af75e9d76ad4b,0xc7b52cad990d94a8313749ad694e25baaf88eebe,3.75,11812.324820661686
0x233ba7a2cf7dab39ae33a07c3316e1162fec608481223efbfc0c665a90277799,14167167,2022-02-08,4170,0xb3a53a5e5d1494b7f5a345f1c808cdd89f966d09,0xda015d5e01d8a12263a5ebb7ebc34c1d11286d42,0xb3a53a5e5d1494b7f5a345f1c808cdd89f966d09,0xda015d5e01d8a12263a5ebb7ebc34c1d11286d42,0.675,2126.218467719104
0xa8b5d62118538ea1b0ffb23811d578ca60cf030ad08cefb29a283f8fb038f103,14167156,2022-02-08,4825,0xc812970d9ba9bb395955fba545f90e7e1e01319d,0x2cd450d91a548d9aaa44c2bb94d2200b2f506831,0x2cd450d91a548d9aaa44c2bb94d2200b2f506831,0xc812970d9ba9bb395955fba545f90e7e1e01319d,1.27,4000.4406725974245
0xfabed36c64f826be957ff267c7a51c82b01e985720cf1e147c1f09e8dafded29,14167084,2022-02-08,3035,0xeccf945d5567d9993cea6cff2c5535a130619e54,0x7dce347af4997d7fe05c39e4e284584190704e11,0xeccf945d5567d9993cea6cff2c5535a130619e54,0x7dce347af4997d7fe05c39e4e284584190704e11,2.19,6898.397695266425
0x7289df7c3e232abb2e109a40fe9ec6352403548dcfc88b79bec96edab638ca40,14166963,2022-02-08,4925,0x586363c06856197a6ef153919254a3fa1b7f42f8,0xc6221de2c8f14053a16e9b86a92d5ee93399214f,0x586363c06856197a6ef153919254a3fa1b7f42f8,0xc6221de2c8f14053a16e9b86a92d5ee93399214f,0.8,2519.9626284078267
0xc52ee4bc388bd03ca3877e89840fdc1759a4700f165fea3832aa0e8c013aedb5,14166874,2022-02-08,1566,0xc41da352ebb55ca4f6c30893b017bf442b94561e,0x6b6fc01183ca5abdb963b7f35ee3838e4a1a213b,0xc41da352ebb55ca4f6c30893b017bf442b94561e,0x6b6fc01183ca5abdb963b7f35ee3838e4a1a213b,0.99,3118.4537526546856
0x1036d4202a58ee43f6d007567a45fced106d93df608b16a068f733191f2a8f12,14166767,2022-02-08,4971,0x44f3d9004828071cacf187d2058745bf01496021,0x9cb058dcaa9b09738c5131780806be7c8b39426b,0x44f3d9004828071cacf187d2058745bf01496021,0x9cb058dcaa9b09738c5131780806be7c8b39426b,0.699,2201.8173465713385
0x3c4df6203af26c035e9372b920db6bf10c0672189e2d620b57105f0065ffb492,14166740,2022-02-08,7712,0x9f5481331d682689cc77436cb71873f31f0c78ec,0x10e1e4dccbe012913f92d06e09ef3442e7ebd31f,0x9f5481331d682689cc77436cb71873f31f0c78ec,0x10e1e4dccbe012913f92d06e09ef3442e7ebd31f,0.689,2170.3178137162404
0x66fade6514c6f02a0b83655e0b2192635bf8acdf77d074a0db6f9121ae520b9e,14166712,2022-02-08,1105,0x06eb24e4b2a99859b8b4317798b80d6d4ee2fdb1,0x786ab9dc024a004291d08d681938a05599f2daba,0x786ab9dc024a004291d08d681938a05599f2daba,0x06eb24e4b2a99859b8b4317798b80d6d4ee2fdb1,0.5114,1610.886110209703
